StrongestFreqHzY,StrongestFreqHzZ,FingerString
6.85717371834297,6.85717371834297,M
13.7157982298137,6.85789911490685,M
6.85862466496133,6.85862466496133,M
6.85644847522099,6.85644847522099,M
13.712896950442,6.85644847522099,M
6.85789911490685,6.85789911490685,M
6.86007622573698,6.86007622573698,M
6.86080223655566,6.86080223655566,M
6.86080223655566,6.86080223655566,M
13.7216044731113,6.86080223655566,M
6.86298119132061,6.86298119132061,M
6.86298119132061,6.86298119132061,M
6.86225471929866,6.86225471929866,M
13.7230568021199,6.86152840105996,M
6.86152840105996,6.86152840105996,M
13.7245094385973,6.86225471929864,M
6.86152840105998,6.86152840105998,M
13.7245094385973,6.86225471929864,M
6.86080223655564,6.86080223655564,M
6.86080223655568,6.86080223655568,M
6.86225471929864,6.86225471929864,M
6.86370781717462,6.86370781717462,M
13.7259623826413,6.86298119132063,M
6.86298119132063,6.86298119132063,M
6.86152840105998,6.86152840105998,M
6.86080223655568,6.86080223655568,M
6.86152840105998,6.86152840105998,M
6.86152840105998,6.86152840105998,M
6.86370781717462,6.86370781717462,M
13.72305680212,6.86152840105998,M
