StrongestFreqHzX,StrongestFreqHzY,StrongestFreqHzZ,FingerString
6.85499844910801,10.282497673662,6.85499844910801,P
6.85572338549223,13.7114467709845,6.85572338549223,P
6.85427366601972,10.2814104990296,13.7085473320394,P
6.85427366601972,10.2814104990296,6.85427366601972,P
6.85572338549222,13.7114467709844,13.7114467709844,P
6.85572338549222,6.85572338549222,6.85572338549222,P
6.85644847522099,13.712896950442,13.712896950442,P
6.85644847522099,10.2846727128315,6.85644847522099,P
6.85572338549222,10.2835850782383,6.85572338549222,P
6.85572338549225,10.2835850782384,6.85572338549225,P
6.85499844910801,10.282497673662,6.85499844910801,P
10.2857605775145,10.2857605775145,6.857173718343,P
6.85572338549222,10.2835850782383,6.85572338549222,P
6.85862466496133,10.287936997442,6.85862466496133,P
6.85862466496131,10.287936997442,13.7172493299226,P
6.85717371834295,13.7143474366859,6.85717371834295,P
6.8557233854922,13.7114467709844,6.8557233854922,P
6.85572338549225,13.7114467709845,13.7114467709845,P
6.85789911490683,10.2868486723602,6.85789911490683,P
6.85862466496131,10.287936997442,6.85862466496131,P
6.85935036855514,13.7187007371103,13.7187007371103,P
6.85789911490687,10.2868486723603,13.7157982298137,P
6.857173718343,10.2857605775145,6.857173718343,P
6.85862466496135,10.287936997442,13.7172493299227,P
6.85717371834295,10.2857605775144,10.2857605775144,P
6.857173718343,10.2857605775145,10.2857605775145,P
6.85644847522097,10.2846727128315,10.2846727128315,P
6.85572338549225,10.2835850782384,6.85572338549225,P
6.85644847522097,13.7128969504419,13.7128969504419,P
6.85717371834291,13.7143474366858,13.7143474366858,P
